model,variable,coef,se,pvalue,nobs,r2
m2,C(ubigeo)[T.21007],0.065501397428258,0.0023237208193604294,8.169972359383016e-175,51862,0.034120678215294964
m2,C(ubigeo)[T.21008],-0.15813330842145248,0.0033118564622489056,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21009],-0.08337249438315138,0.002826192031436422,2.884084519881592e-191,51862,0.034120678215294964
m2,C(ubigeo)[T.21010],-0.03821172331645574,0.0025261657661492594,1.0851505928229779e-51,51862,0.034120678215294964
m2,C(ubigeo)[T.21011],-0.06790618510170837,0.002022529362869242,3.902845558379501e-247,51862,0.034120678215294964
m2,C(ubigeo)[T.21102],-0.1579289467759495,0.0037587239295049646,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21103],-0.15970767148861095,0.003986364571336692,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21104],-0.14332405538349074,0.0033253054830831,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21202],-0.09285066492477155,0.0018967999197011792,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21203],-0.08475541171134555,0.003972307083517538,5.1969245279555846e-101,51862,0.034120678215294964
m2,C(ubigeo)[T.21204],-0.05532262243936237,0.0021374865881753705,1.0595675772105423e-147,51862,0.034120678215294964
m2,C(ubigeo)[T.21205],-0.06894326641963662,0.001889717686463408,2.035581439204515e-291,51862,0.034120678215294964
m2,C(ubigeo)[T.21206],-0.1710594703422054,0.003880370725742993,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21207],-0.08929513004512649,0.003940367750388621,1.0715708890058635e-113,51862,0.034120678215294964
m2,C(ubigeo)[T.21208],-0.14708292092668956,0.003597628736419187,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21209],-0.10109695139928768,0.0031083659855150993,4.859638740187095e-232,51862,0.034120678215294964
m2,C(ubigeo)[T.21210],-0.15033666091774614,0.0036438839749376585,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21302],-0.18220423307008324,0.0037648747022573574,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21303],-0.17676113758366907,0.003789462431233384,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21304],-0.16641189611416785,0.0032000034742623576,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21305],-0.2009951214744098,0.004455133589952212,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21306],-0.15890628063403628,0.003419996419720178,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21307],-0.19202810024798694,0.004152030812798029,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21308],-0.17239734410083438,0.0038125234217553593,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21309],-0.2208717020878729,0.004539414826491642,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21402],-0.08634566772033464,0.002612978593452886,1.8402590352344588e-239,51862,0.034120678215294964
m2,C(ubigeo)[T.21403],-0.13292133873846712,0.003349847974048505,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21404],-0.10366760211083383,0.002640972256062557,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21405],-0.12114566483283713,0.003437397380713555,4.326184636863943e-272,51862,0.034120678215294964
m2,C(ubigeo)[T.21406],-0.1183007609020686,0.0028249985318988687,0.0,51862,0.034120678215294964
