year,posicion,tipo_org,n,prob_ganar,votos_promedio
2014,3,partido,1178,0.1570458404074703,623.2971137521222
2014,4,movimiento,566,0.19081272084805653,423.5883392226148
2014,4,partido,966,0.16356107660455488,911.9368530020704
2014,5,movimiento,509,0.16895874263261296,527.9155206286837
2014,5,partido,850,0.15176470588235294,890.82
2014,6,movimiento,392,0.14030612244897958,917.7397959183673
2014,6,partido,707,0.12305516265912306,1027.4625176803395
2014,7,movimiento,264,0.12121212121212122,760.0151515151515
2014,7,partido,561,0.1051693404634581,1016.2691622103387
2014,8,movimiento,165,0.07878787878787878,740.3757575757576
2014,8,partido,444,0.13513513513513514,1381.0923423423424
2014,9,movimiento,80,0.0875,994.35
2014,9,partido,331,0.12386706948640483,2282.549848942598
2014,10,movimiento,30,0.06666666666666667,2480.133333333333
2014,10,partido,242,0.0743801652892562,1911.1570247933885
2014,11,movimiento,12,0.25,3796.6666666666665
2014,11,partido,167,0.08383233532934131,2490.634730538922
2014,12,movimiento,4,0.0,783.0
2014,12,partido,107,0.08411214953271028,5529.719626168225
2014,13,movimiento,1,0.0,1526.0
2014,13,partido,75,0.08,6964.693333333334
2014,14,partido,59,0.0847457627118644,4608.847457627118
2014,15,partido,41,0.04878048780487805,9414.634146341463
2018,1,movimiento,731,0.26812585499316005,729.4336525307798
2018,1,partido,960,0.24791666666666667,1213.5854166666666
2018,2,movimiento,795,0.26037735849056604,804.4062893081762
2018,2,partido,877,0.2006841505131129,917.963511972634
2018,3,movimiento,351,0.2336182336182336,945.8974358974359
2018,3,partido,1249,0.20176140912730184,1001.6044835868695
2018,4,movimiento,99,0.20202020202020202,808.3939393939394
2018,4,partido,1276,0.15830721003134796,1042.187304075235
2018,5,movimiento,27,0.07407407407407407,1163.111111111111
2018,5,partido,973,0.1551901336073998,1533.51901336074
2018,6,movimiento,12,0.25,7492.0
2018,6,partido,665,0.14285714285714285,1978.7503759398496
2018,7,movimiento,4,0.25,4794.5
2018,7,partido,429,0.08857808857808858,2356.5477855477857
2018,8,partido,269,0.08178438661710037,2688.64312267658
2018,9,partido,151,0.08609271523178808,3457.4966887417218
2018,10,partido,92,0.03260869565217391,4361.923913043478
2018,11,partido,59,0.06779661016949153,4456.35593220339
2018,12,partido,35,0.05714285714285714,7007.2
2022,1,movimiento,731,0.26812585499316005,729.4336525307798
2022,1,partido,960,0.24791666666666667,1213.5854166666666
2022,2,movimiento,795,0.26037735849056604,804.4062893081762
2022,2,partido,877,0.2006841505131129,917.963511972634
2022,3,movimiento,351,0.2336182336182336,945.8974358974359
2022,3,partido,1249,0.20176140912730184,1001.6044835868695
2022,4,movimiento,99,0.20202020202020202,808.3939393939394
2022,4,partido,1276,0.15830721003134796,1042.187304075235
2022,5,movimiento,27,0.07407407407407407,1163.111111111111
2022,5,partido,973,0.1551901336073998,1533.51901336074
2022,6,movimiento,12,0.25,7492.0
2022,6,partido,665,0.14285714285714285,1978.7503759398496
2022,7,movimiento,4,0.25,4794.5
2022,7,partido,429,0.08857808857808858,2356.5477855477857
2022,8,partido,269,0.08178438661710037,2688.64312267658
2022,9,partido,151,0.08609271523178808,3457.4966887417218
2022,10,partido,92,0.03260869565217391,4361.923913043478
2022,11,partido,59,0.06779661016949153,4456.35593220339
2022,12,partido,35,0.05714285714285714,7007.2
