variable,coef,se,pvalue
C(ubigeo)[T.10419],-0.13009561959790877,0.0023429253342361063,0.0
C(ubigeo)[T.10420],-0.143370944154462,0.0026927977936878696,0.0
C(ubigeo)[T.10421],-0.06811061747592827,0.0026472699431289285,5.592536727984609e-146
C(ubigeo)[T.10422],-0.08348970516942714,0.0019429515971694303,0.0
C(ubigeo)[T.10423],-0.033849045315756734,0.001562355711061421,4.352140750906311e-104
C(ubigeo)[T.10502],-0.0642749998174148,0.0025103371160936534,1.3722233111465701e-144
C(ubigeo)[T.10503],-0.1531136108704146,0.0022112659354436696,0.0
C(ubigeo)[T.10504],-0.14263594739103724,0.0027620713489837994,0.0
C(ubigeo)[T.10505],-0.06056521313003029,0.002571478898048381,1.1785061214924654e-122
C(ubigeo)[T.10506],-0.03302399852927738,0.0017427782953969983,4.496003171534375e-80
C(ubigeo)[T.10507],0.02755934565364374,0.0018449220364482148,1.866400609317887e-50
C(ubigeo)[T.10508],-0.03142734891903554,0.0019882498000293814,2.80454719424981e-56
C(ubigeo)[T.10509],-0.1578457848388882,0.002730018178676031,0.0
C(ubigeo)[T.10510],0.006063522302639349,0.0021002379238448925,0.00388854535571403
C(ubigeo)[T.10511],0.05459542288206329,0.0012565946127748545,0.0
C(ubigeo)[T.10512],-0.09269721110785539,0.002084792519300098,0.0
C(ubigeo)[T.10602],-0.20652638484406421,0.004154694689463247,0.0
C(ubigeo)[T.10603],-0.19103966441193354,0.0037295520841917817,0.0
C(ubigeo)[T.10702],-0.2006327109563879,0.004313204033990502,0.0
C(ubigeo)[T.10703],0.044421755309982436,0.0026521810631035597,5.7449568310645e-63
C(ubigeo)[T.10704],-0.18470340204046357,0.003471344126955582,0.0
C(ubigeo)[T.10705],-0.1489694208317373,0.0020584638294272,0.0
C(ubigeo)[T.10706],-0.10896041937380015,0.0010599723204822132,0.0
C(ubigeo)[T.10707],-0.17608406999521736,0.0031106276362016546,0.0
C(ubigeo)[T.20102],-0.20480283000391103,0.004937227538840632,0.0
C(ubigeo)[T.20103],-0.12379170077816459,0.0029736957956022023,0.0
C(ubigeo)[T.20104],0.033656297644418944,0.001048758701111904,5.783006457140918e-226
C(ubigeo)[T.20105],-0.15380918619603615,0.0026906831783680375,0.0
C(ubigeo)[T.20106],-0.10106116894690724,0.002092705598847766,0.0
C(ubigeo)[T.20107],-0.1468346901526003,0.002889236719368916,0.0
C(ubigeo)[T.20108],0.07370274367174222,0.003321497997113455,4.327339594650882e-109
C(ubigeo)[T.20109],-0.15756940060292837,0.0026219631916786393,0.0
C(ubigeo)[T.20110],-0.17041343500730158,0.0025961761460922975,0.0
C(ubigeo)[T.20111],-0.17989073959662252,0.004094538995174324,0.0
C(ubigeo)[T.20112],-0.19077824456650072,0.003338953354178299,0.0
C(ubigeo)[T.20203],-0.16099504435313083,0.002057488160150974,0.0
C(ubigeo)[T.20205],-0.07678386755063185,0.0015104564974288178,0.0
C(ubigeo)[T.20206],-0.15254183564046833,0.0030662787685052976,0.0
C(ubigeo)[T.20208],-0.15647088297647221,0.0031221976979213567,0.0
C(ubigeo)[T.20302],-0.03133258149413359,0.002063433729743278,4.4673602109853335e-52
C(ubigeo)[T.20304],-0.1334665611782935,0.002550459791930839,0.0
C(ubigeo)[T.20305],-0.15082698180836915,0.002659046613560772,0.0
C(ubigeo)[T.20310],-0.14481633962751045,0.0031610811820710783,0.0
C(ubigeo)[T.20311],-0.11736743415914269,0.0020544534699039694,0.0
C(ubigeo)[T.20313],0.17351183842540535,0.0016566379199188543,0.0
C(ubigeo)[T.20315],-0.10275664287534733,0.0031939298315186294,4.283294360038775e-227
C(ubigeo)[T.20317],-0.02067517107560573,0.0007405816360737112,1.6371483710154177e-171
C(ubigeo)[T.20320],-0.08979799326565036,0.002731678414772933,5.375828409374504e-237
C(ubigeo)[T.20321],-0.13209599906410904,0.0032029598091295455,0.0
C(ubigeo)[T.20322],0.14536310031353653,0.0019718002836387792,0.0
C(ubigeo)[T.20323],0.10160353608843191,0.0019262393748456785,0.0
C(ubigeo)[T.20324],0.0581155982633008,0.001575492124359131,7.3945407381153975e-298
C(ubigeo)[T.20325],-0.1372496221777023,0.002416293218500619,0.0
C(ubigeo)[T.20402],-0.16297413367553784,0.0030808930287728113,0.0
C(ubigeo)[T.20403],-0.12246307618853501,0.0022450055456938846,0.0
C(ubigeo)[T.20404],0.09521146665773669,0.002253987378048985,0.0
C(ubigeo)[T.20405],-0.1253713379827795,0.0016461717253320315,0.0
C(ubigeo)[T.20406],-0.17740624274278952,0.0032857458390542185,0.0
C(ubigeo)[T.20407],-0.16377717497171917,0.0028023956955404716,0.0
C(ubigeo)[T.20408],-0.16810031240541717,0.0027406872429586527,0.0
C(ubigeo)[T.20409],-0.1635287587099807,0.0022260868170663676,0.0
C(ubigeo)[T.20410],-0.1822642967484253,0.0032969475793773375,0.0
C(ubigeo)[T.20411],-0.14443917949512047,0.0030330874871859824,0.0
C(ubigeo)[T.20502],-0.18535253274232258,0.003295906735217145,0.0
C(ubigeo)[T.20503],-0.20464913882112887,0.003917045265861156,0.0
C(ubigeo)[T.20505],-0.19921679086315222,0.0037528183785741466,0.0
C(ubigeo)[T.20602],0.23752456718878293,0.0033547614406607106,0.0
C(ubigeo)[T.20603],-0.09746468572762527,0.0031542448119084355,1.2119076689853328e-209
C(ubigeo)[T.20604],-0.0871020025177918,0.002929378194399504,2.7961055604635046e-194
C(ubigeo)[T.20605],-0.06687279240289312,0.0031623129928519417,2.9532282195343198e-99
C(ubigeo)[T.20606],-0.010297741505270703,0.0019155657302389244,7.623383215215774e-08
C(ubigeo)[T.20607],0.10396024843890272,0.0034998962269190683,6.856395069581067e-194
C(ubigeo)[T.20702],-0.018270115064313988,0.0016889516745616133,2.846500722604813e-27
C(ubigeo)[T.20703],-0.14738962686146642,0.0028722945625696723,0.0
C(ubigeo)[T.20704],-0.03512380837174619,0.001515743729596308,8.59353148996721e-119
C(ubigeo)[T.20705],-0.16331859386934094,0.002894299691650307,0.0
C(ubigeo)[T.20706],-0.18214624734163984,0.0033078250818237044,0.0
C(ubigeo)[T.20707],-0.18768289458870843,0.0038271130083739635,0.0
C(ubigeo)[T.20708],0.06447545009327643,0.004087741534866955,4.7819850963570955e-56
C(ubigeo)[T.20709],-0.148462014893493,0.0030382134307674613,0.0
C(ubigeo)[T.20710],-0.15204613806879572,0.002932580619840588,0.0
C(ubigeo)[T.20802],-0.15500383328120215,0.002685883470167372,0.0
C(ubigeo)[T.20803],-0.18327241742267442,0.0033134273767726043,0.0
C(ubigeo)[T.20804],-0.1356688248368856,0.0030933968936097665,0.0
C(ubigeo)[T.20805],-0.15376550011077272,0.0031627074222785774,0.0
C(ubigeo)[T.20806],-0.07493860503879564,0.001398290538416332,0.0
C(ubigeo)[T.20807],-0.13419436316900676,0.002481584146154976,0.0
C(ubigeo)[T.20808],0.04112665403687025,0.002417197937180145,6.446345855671948e-65
C(ubigeo)[T.20809],-0.1665981415160309,0.002569295420046716,0.0
C(ubigeo)[T.20810],-0.13767782574980506,0.0023935688070220507,0.0
C(ubigeo)[T.20811],-0.1259875125227616,0.0018015737684738777,0.0
C(ubigeo)[T.20812],0.012987192057248558,0.0021433574173728744,1.3673643119454664e-09
C(ubigeo)[T.20813],-0.222690386471264,0.004462080394737279,0.0
C(ubigeo)[T.20814],-0.1546820302179812,0.0027198827574424584,0.0
C(ubigeo)[T.20815],-0.11474506228806,0.0021935612995513986,0.0
C(ubigeo)[T.20816],-0.17881509617256985,0.003168092151183625,0.0
C(ubigeo)[T.20902],-0.07913966302504924,0.002863591602313765,4.054645621570264e-168
C(ubigeo)[T.20903],-0.09981473252624382,0.0025797345463181524,0.0
C(ubigeo)[T.20904],-0.08981960660003988,0.00261845631193084,7.201041976962657e-258
C(ubigeo)[T.20905],-0.10064307285390159,0.003036251245464756,6.22518573462097e-241
C(ubigeo)[T.20906],-0.16218737267650898,0.00285790626485313,0.0
C(ubigeo)[T.20907],-0.055950535349279705,0.0019299737009736094,8.716989676884285e-185
C(ubigeo)[T.20908],-0.0768912374831897,0.0030190680376524118,4.400776534096527e-143
C(ubigeo)[T.21002],-0.12304249146714882,0.002872968304748834,0.0
C(ubigeo)[T.21003],-0.1698502254917989,0.0031726734291586674,0.0
C(ubigeo)[T.21004],-0.10597957545225656,0.0018594111401303017,0.0
C(ubigeo)[T.21005],-0.08571953545987925,0.0019911888703476777,0.0
C(ubigeo)[T.21006],-0.09914497759157409,0.0024054588822104836,0.0
C(ubigeo)[T.21007],0.06432646645290503,0.0018788370341072487,6.720417088780143e-257
C(ubigeo)[T.21008],-0.1672904307326085,0.0026104967000649434,0.0
C(ubigeo)[T.21009],-0.08825439106304764,0.0025747480310287212,1.7335698981155492e-257
C(ubigeo)[T.21010],-0.04704665735753605,0.0025996945775602397,3.3654002994051435e-73
C(ubigeo)[T.21011],-0.07397510996336583,0.002184306505999397,2.0653552691049157e-251
C(ubigeo)[T.21102],-0.16893722064419048,0.0032737942267319947,0.0
C(ubigeo)[T.21103],-0.16902179863475858,0.003623029211945715,0.0
C(ubigeo)[T.21104],-0.15421401944940985,0.0029795565612249827,0.0
C(ubigeo)[T.21202],-0.10114502200887264,0.0014749096543382222,0.0
